OID_,ID,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,D2_NO2,D5_NO2,D2_DWATER,D5_DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
5585,06037101110,CA,Los Angeles County,9,4014,3927,3119,1778,0.442949676,897,0.22841864,255,0.081756973,141,0.035127055,840,0.209267564,0.187692308,10.506502185792300,95.177329999999998,0.13925708,412.030881320016306,1407127.926459394395351,0.407799584,0.108317259,3.613111406244065,0,1270.949377917256697,7.658164546105420,0,36.734216847332078,37.978754870103018,137.753313177495301,142.420330762886323,29.081255004137898,30.066514272164891,88.774357381052525,91.781990936082295,41.325993953248592,42.726099228865898,134.692128440217630,139.255434523711074,111.733242910635084,115.518712729896691,35.203624478693243,36.396306750515393,38.264809215970921,39.561202989690649,0,0,82.651987906497183,85.452198457731797,42.856586321887427,44.308547348453523,0,0,1142401.000000000000000,0,0,0,0,2,0.047170387,0.000111817
5586,06037101122,CA,Los Angeles County,9,4164,4133,3132,1282,0.307877041,517,0.125090733,504,0.16091954,128,0.030739673,909,0.218299712,0.179487179,10.413903278688499,95.368300000000005,0.148495371,406.773456398095504,1183864.720026982715353,0.365753047,0.103545742,3.102088550465114,0,1154.895829884689647,6.518259083764236,0,23.190963902248953,32.806873216410139,86.966114633433577,123.025774561538029,20.292093414467836,28.706014064358875,56.044829430434973,79.283276939657839,22.224673739655245,31.439920165726388,55.078539267841265,77.916323888974091,68.606601544153150,97.053666598546670,21.258383577061540,30.072967115042630,20.292093414467836,28.706014064358875,0,0,51.213378617466439,72.448511686239058,15.460642601499302,21.871248810940095,0,0,2644045.000000000000000,0,0,0,0,0,0.096237171,0.000258821
5587,06037101220,CA,Los Angeles County,9,3481,3481,2560,1996,0.573398449,972,0.279230106,595,0.232421875,135,0.038781959,569,0.163458776,0.194871795,10.616187158469900,95.302059999999997,0.262883579,428.325634345454546,1798829.029405165463686,0.407585742,0.09880361,4.406367705876659,0,1348.198651887889127,7.506185043941844,0,48.341709476294696,53.496853765605913,174.030154114660917,192.588673556181277,94.749750573537611,104.853833380587588,112.152765985003697,124.112700736205710,61.877388129657213,68.475972819975567,148.892465186987664,164.770309598066206,141.157791670780512,156.210812995569256,40.607035960087543,44.937357163108963,58.010051371553637,64.196224518727092,0,0,106.351760847848340,117.693078284333012,50.275377855346484,55.636727916230150,0,0,698886.000000000000000,0,0,0,0,3,0.038499445,6.83998E-05
5588,06037101221,CA,Los Angeles County,9,3756,3703,2682,1786,0.475505857,1242,0.335403727,694,0.258762118,154,0.041001065,733,0.19515442,0.153846154,10.564279234972700,95.172269999999997,0.260134757,414.553537950871203,1677582.312448087148368,0.427932415,0.107850714,4.260824781644033,0,1344.972478100923126,8.029700279235840,0,47.610438044750204,66.850303922981652,171.397576961100725,240.661094122733971,91.412041045920390,128.352583532124783,110.456216263820465,155.092705101317449,57.132525653700242,80.220364707577986,93.316458567710399,131.026595689044058,140.926896612460610,197.876899612025710,43.801603001170186,61.502279609143123,55.228108131910233,77.546352550658725,0,0,104.742963698450453,147.070668630559652,62.845778219070269,88.242401178335783,0,0,354178.000000000000000,0,0,0,0,4,0.029098928,3.46643E-05
5589,06037101222,CA,Los Angeles County,9,2808,2808,2090,1531,0.54522792,1161,0.413461538,295,0.141148325,28,0.00997151,459,0.163461538,0.153846154,10.610515300546400,95.177019999999999,0.262977983,421.390067499999986,1746321.841748813865706,0.42494659,0.103976588,4.464596201804978,0,1366.607824192190492,7.717949867248535,0,56.683180295554315,60.507427033331531,204.059449063995544,217.826737319993498,111.099033379286453,118.594556985329803,131.504978285686008,140.377230717329155,70.287143566487345,75.029209521331097,124.702996650219490,133.116339473329361,165.514886463018598,176.681686937328067,49.881198660087797,53.246535789331745,68.019816354665181,72.608912439997837,0,0,124.702996650219490,133.116339473329361,65.752489142843004,70.188615358664578,0,0,296512.000000000000000,0,0,0,1,4,0.030206586,2.90196E-05
5590,06037101300,CA,Los Angeles County,9,4071,4024,3220,1073,0.263571604,654,0.162524851,230,0.071428571,118,0.028985507,1099,0.269958241,0.179487179,10.662417213114800,95.412109999999998,0.261033772,473.862639371773184,2498954.559307096526027,0.495926031,0,4.682594318537591,0,1661.000019974811948,7.105874387294744,0,25.684083302036189,37.700361820835944,88.906442199356036,130.501252456739820,48.404618530760509,71.050681893113904,59.270961466237360,87.000834971159875,41.489673026366148,60.900584479811911,78.040099263879185,114.551099378693834,76.064400548337943,111.651071546321845,0,0,30.623330090889304,44.950431401765940,0,0,57.295262750696111,84.100807138787886,20.744836513183074,30.450292239905956,0,0,2580478.000000000000000,0,0,1,0,0,0.085837038,0.000252542
5591,06037101400,CA,Los Angeles County,9,3490,3474,2470,1469,0.420916905,1278,0.367875648,279,0.112955466,329,0.094269341,681,0.19512894,0.165128205,10.706591803278700,94.956599999999995,0.259819338,458.557635819240716,2623413.193717554211617,0.497985184,0.144758102,6.276338474413475,0,1901.967130232698310,7.360924224354415,0,49.177175220624441,42.919218066840855,170.228683456007673,148.566524077526054,90.788631176537422,79.235479508013896,111.594359154493930,97.393610228600409,83.222911911825975,72.632522882346066,138.074376580983994,120.503958418437790,145.640095845695470,127.106915044105619,52.960034852980165,46.220696379674770,77.548622463292389,67.680305413095198,0,0,113.485788970671791,99.044349385017355,45.394315588268711,39.617739754006948,0,0,6310056.000000000000000,0,0,0,0,1,0.133831492,0.000617501
5592,06037102103,CA,Los Angeles County,9,1834,1834,1298,375,0.204471101,657,0.35823337,77,0.059322034,139,0.075790622,248,0.135223555,0.14974359,10.772624043715799,92.914010000000005,0.282788805,499.838998300000014,5894482.969249659217894,2.173102443228275,0.478595422,14.721356706620249,0,3637.665291493268796,8.081828117370605,0,38.851971468012600,40.159903268699125,128.067609653819318,132.378940404230462,77.703942936025200,80.319806537398250,87.776676279584024,90.731633310764693,105.044219154256282,108.580479207964302,122.311762028928555,126.429325105163926,133.823457278710066,138.328555703296985,76.264981029802513,78.832402712631620,97.849409623142833,101.143460084131135,0,0,97.849409623142833,101.143460084131135,47.485742905348729,49.084326217298937,0,0,1186489.000000000000000,0,0,0,0,1,0.051639811,0.000116085
5593,06037102104,CA,Los Angeles County,9,4033,3814,2789,1304,0.323332507,719,0.188515994,202,0.072427393,180,0.044631788,765,0.189685098,0.124102564,10.903824043715799,92.917670000000001,0.278233341,580.293315122324771,5732949.616187889128923,4.054702223135187,0.382568907,13.332492205420056,0,4856.230303859961168,8.790999179123245,0,33.050291421480900,23.122853854436833,105.052712018278569,73.497642608745650,62.559480190660274,43.768259081612577,74.363155698332022,52.026421172482877,84.986463655236591,59.458767054266147,62.559480190660274,43.768259081612577,113.315284873648793,79.278356072354853,56.657642436824396,39.639178036177427,76.723890799866368,53.678053590656937,0,0,84.986463655236591,59.458767054266147,51.936172233755698,36.335913199829314,0,0,1658823.000000000000000,0,0,0,0,0,0.084361716,0.000162282
5594,06037102105,CA,Los Angeles County,9,1610,1610,1184,1286,0.798757764,423,0.262732919,271,0.228885135,128,0.079503106,261,0.162111801,0.192820513,10.960183333333299,92.655699999999996,0.286506445,504.268332086307282,7663019.340092754922807,9.239660716402501,0.423765932,14.706587327596440,0,4966.853307954752381,10.391741776273578,0,65.180767458133573,47.283804838889395,204.853840582705516,148.606243779366679,128.033650364190947,92.878902362104171,142.000957676648142,103.011146256151903,197.870186926476919,143.540121832342805,202.525956030629317,146.917536463692045,228.132686103467506,165.493316936112876,116.394227603809952,84.435365783731058,158.296149541181535,114.832097465874241,0,0,167.607687749486331,121.586926728572735,153.640380437029137,111.454682834525002,0,0,492761.000000000000000,0,0,0,4,4,0.030157141,4.82029E-05
5595,06037102107,CA,Los Angeles County,9,3577,3459,2894,1387,0.387755102,867,0.250650477,491,0.169661368,63,0.017612524,785,0.219457646,0.183589744,10.640454644808701,93.942059999999998,0.231409676,414.515435709186704,4194341.037551477551460,1.095719747618362,0.422859714,12.624921962291340,0,3055.585702585352919,7.192063961163103,0,38.655447579600491,44.759266974634045,132.320570560940126,153.214413874708839,62.443415320893095,72.303431266716530,86.231383062185699,99.847595558799014,87.718131046016495,101.569105827054173,104.072358868155163,120.505718777860892,132.320570560940126,153.214413874708839,74.337399191539404,86.075513412757772,93.665122981339650,108.455146900074794,0,0,98.125366932832009,113.619677704840271,32.708455644277336,37.873225901613424,0,0,12908562.000000000000000,13753.000000000000000,0,0,0,2,0.19826371,0.001264542
