Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101110","Census Tract 1011.10",,,,1558,75,84,22,59,32,100,47,11,53,54,174,179,196,136,136,200,4.81,5.39,1.41,3.79,2.05,6.42,3.02,0.71,3.4,3.47,11.17,11.49,12.58,8.73,8.73,12.84
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101122","Census Tract 1011.22",,,,1407,44,0,15,25,15,58,19,30,26,43,173,259,69,80,299,252,3.13,0,1.07,1.78,1.07,4.12,1.35,2.13,1.85,3.06,12.3,18.41,4.9,5.69,21.25,17.91
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101220","Census Tract 1012.20",,,,1357,112,60,0,39,61,31,61,54,57,39,198,139,108,64,199,135,8.25,4.42,0,2.87,4.5,2.28,4.5,3.98,4.2,2.87,14.59,10.24,7.96,4.72,14.66,9.95
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101221","Census Tract 1012.21",,,,1483,78,182,0,178,8,10,33,119,27,190,161,66,73,178,98,82,5.26,12.27,0,12,0.54,0.67,2.23,8.02,1.82,12.81,10.86,4.45,4.92,12,6.61,5.53
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101222","Census Tract 1012.22",,,,948,17,239,46,69,0,18,60,16,34,11,28,123,22,165,1,99,1.79,25.21,4.85,7.28,0,1.9,6.33,1.69,3.59,1.16,2.95,12.97,2.32,17.41,0.11,10.44
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101300","Census Tract 1013",,,,1513,75,19,34,55,20,61,49,33,4,16,103,121,143,202,213,365,4.96,1.26,2.25,3.64,1.32,4.03,3.24,2.18,0.26,1.06,6.81,8,9.45,13.35,14.08,24.12
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101400","Census Tract 1014",,,,1336,27,80,7,171,39,0,32,64,82,61,59,129,99,116,104,266,2.02,5.99,0.52,12.8,2.92,0,2.4,4.79,6.14,4.57,4.42,9.66,7.41,8.68,7.78,19.91
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102103","Census Tract 1021.03",,,,714,37,7,14,45,32,4,89,5,8,51,80,86,42,98,98,18,5.18,0.98,1.96,6.3,4.48,0.56,12.46,0.7,1.12,7.14,11.2,12.04,5.88,13.73,13.73,2.52
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102104","Census Tract 1021.04",,,,1299,31,60,15,0,10,26,11,43,42,47,63,158,227,173,144,249,2.39,4.62,1.15,0,0.77,2,0.85,3.31,3.23,3.62,4.85,12.16,17.47,13.32,11.09,19.17
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102105","Census Tract 1021.05",,,,518,4,13,3,20,31,15,5,19,12,54,20,78,76,6,44,118,0.77,2.51,0.58,3.86,5.98,2.9,0.97,3.67,2.32,10.42,3.86,15.06,14.67,1.16,8.49,22.78
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102107","Census Tract 1021.07",,,,1184,108,26,11,11,0,9,10,24,3,112,111,139,97,51,132,340,9.12,2.2,0.93,0.93,0,0.76,0.84,2.03,0.25,9.46,9.38,11.74,8.19,4.31,11.15,28.72
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103101","Census Tract 1031.01",,,,982,31,8,5,84,7,18,22,0,14,32,74,130,84,100,176,197,3.16,0.81,0.51,8.55,0.71,1.83,2.24,0,1.43,3.26,7.54,13.24,8.55,10.18,17.92,20.06
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103102","Census Tract 1031.02",,,,1646,41,135,31,68,6,40,81,68,38,162,173,188,241,181,67,126,2.49,8.2,1.88,4.13,0.36,2.43,4.92,4.13,2.31,9.84,10.51,11.42,14.64,11,4.07,7.65
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103201","Census Tract 1032.01",,,,1581,146,55,63,99,0,27,26,0,44,113,130,175,183,188,205,127,9.23,3.48,3.98,6.26,0,1.71,1.64,0,2.78,7.15,8.22,11.07,11.57,11.89,12.97,8.03
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103202","Census Tract 1032.02",,,,649,0,0,0,5,5,0,14,34,37,21,53,33,208,21,117,101,0,0,0,0.77,0.77,0,2.16,5.24,5.7,3.24,8.17,5.08,32.05,3.24,18.03,15.56
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103300","Census Tract 1033",,,,1296,46,43,38,41,4,0,29,11,0,68,76,120,94,89,218,419,3.55,3.32,2.93,3.16,0.31,0,2.24,0.85,0,5.25,5.86,9.26,7.25,6.87,16.82,32.33
